skype HostCache probe disabled; pass --include-hostcache-probe for legacy supernode bootstrap capture.
api listening on 127.0.0.1:33034
tcp probe listening on 127.0.0.1:80
udp probe listening on 127.0.0.1:33033
auth listening on 127.0.0.1:33033
tcp probe listening on 127.0.0.1:443
udp probe listening on 127.0.0.1:12350
tcp probe listening on 127.0.0.1:12350
udp probe listening on 127.0.0.1:12351
tcp probe listening on 127.0.0.1:12351
udp probe listening on 127.0.0.1:13392
tcp probe listening on 127.0.0.1:13392
udp probe listening on 127.0.0.1:40001
tcp probe listening on 127.0.0.1:40001
udp probe listening on 127.0.0.1:40002
tcp probe listening on 127.0.0.1:40002
udp probe listening on 127.0.0.1:40003
tcp probe listening on 127.0.0.1:40003
udp probe listening on 127.0.0.1:40004
tcp probe listening on 127.0.0.1:40004
tcp probe listening on 127.0.0.1:40005
udp probe listening on 127.0.0.1:40005
udp probe listening on 127.0.0.1:40006
tcp probe listening on 127.0.0.1:40006
udp probe listening on 127.0.0.1:40007
tcp probe listening on 127.0.0.1:40007
tcp probe listening on 127.0.0.1:40008
udp probe listening on 127.0.0.1:40008
udp probe listening on 127.0.0.1:40009
tcp probe listening on 127.0.0.1:40009
udp probe listening on 127.0.0.1:40010
udp probe listening on 127.0.0.1:40011
udp probe listening on 127.0.0.1:40012
tcp probe listening on 127.0.0.1:40010
tcp probe listening on 127.0.0.1:40011
udp probe listening on 127.0.0.1:40013
udp probe listening on 127.0.0.1:40014
udp probe listening on 127.0.0.1:40015
udp probe listening on 127.0.0.1:40016
tcp probe listening on 127.0.0.1:40012
tcp probe listening on 127.0.0.1:40013
udp probe listening on 127.0.0.1:40017
udp probe listening on 127.0.0.1:40018
tcp probe listening on 127.0.0.1:40014
tcp probe listening on 127.0.0.1:40015
udp probe listening on 127.0.0.1:40019
udp probe listening on 127.0.0.1:40020
udp probe listening on 127.0.0.1:40021
udp probe listening on 127.0.0.1:40022
tcp probe listening on 127.0.0.1:40016
tcp probe listening on 127.0.0.1:40017
tcp probe listening on 127.0.0.1:40018
tcp probe listening on 127.0.0.1:40019
udp probe listening on 127.0.0.1:40023
udp probe listening on 127.0.0.1:40024
udp probe listening on 127.0.0.1:40025
udp probe listening on 127.0.0.1:40026
tcp probe listening on 127.0.0.1:40020
tcp probe listening on 127.0.0.1:40021
tcp probe listening on 127.0.0.1:40022
tcp probe listening on 127.0.0.1:40023
udp probe listening on 127.0.0.1:40027
udp probe listening on 127.0.0.1:40028
udp probe listening on 127.0.0.1:40029
udp probe listening on 127.0.0.1:40030
tcp probe listening on 127.0.0.1:40024
tcp probe listening on 127.0.0.1:40025
udp probe listening on 127.0.0.1:40031
udp probe listening on 127.0.0.1:40032
udp probe listening on 127.0.0.1:40033
udp probe listening on 127.0.0.1:40034
tcp probe listening on 127.0.0.1:40026
tcp probe listening on 127.0.0.1:40027
udp probe listening on 127.0.0.1:40035
udp probe listening on 127.0.0.1:40036
tcp probe listening on 127.0.0.1:40028
tcp probe listening on 127.0.0.1:40029
tcp probe listening on 127.0.0.1:40030
tcp probe listening on 127.0.0.1:40031
tcp probe listening on 127.0.0.1:40032
tcp probe listening on 127.0.0.1:40033
tcp probe listening on 127.0.0.1:40034
tcp probe listening on 127.0.0.1:40035
tcp probe listening on 127.0.0.1:40036
