"Time","Pid","LocalAddress","LocalPort","RemoteAddress","RemotePort","State"
"2026-09-06T00:06:29.6245240+03:00","21232","0.0.0.0","41164","0.0.0.0","0","Listen"
"2026-09-06T00:06:36.3630354+03:00","21232","0.0.0.0","59614","0.0.0.0","0","Bound"
"2026-09-06T00:06:36.3661743+03:00","21232","172.18.0.1","59614","64.4.23.141","40004","SynSent"
"2026-09-06T00:06:36.3682698+03:00","21232","172.18.0.1","59613","65.55.223.25","40003","SynSent"
"2026-09-06T00:06:36.3698869+03:00","21232","172.18.0.1","59612","91.190.216.17","40002","SynSent"
"2026-09-06T00:06:36.3719906+03:00","21232","172.18.0.1","59611","91.190.218.40","40001","SynSent"
"2026-09-06T00:06:38.5479496+03:00","21232","172.18.0.1","59640","64.4.23.141","443","SynSent"
"2026-09-06T00:06:38.5495014+03:00","21232","172.18.0.1","59639","65.55.223.25","443","SynSent"
"2026-09-06T00:06:38.5517030+03:00","21232","172.18.0.1","59638","91.190.216.17","443","SynSent"
"2026-09-06T00:06:38.5537876+03:00","21232","172.18.0.1","59637","91.190.218.40","443","SynSent"
"2026-09-06T00:06:39.6734750+03:00","21232","172.18.0.1","59670","64.4.23.141","80","SynSent"
"2026-09-06T00:06:39.6750763+03:00","21232","172.18.0.1","59669","65.55.223.25","80","SynSent"
"2026-09-06T00:06:39.6777257+03:00","21232","172.18.0.1","59668","91.190.216.17","80","Established"
"2026-09-06T00:06:39.6792906+03:00","21232","172.18.0.1","59667","91.190.218.40","80","SynSent"
"2026-09-06T00:06:40.8171207+03:00","21232","172.18.0.1","55520","111.221.74.33","40005","Established"
"2026-09-06T00:06:41.8813633+03:00","21232","172.18.0.1","55536","111.221.74.33","443","Established"
"2026-09-06T00:06:44.0827897+03:00","21232","172.18.0.1","55558","111.221.74.33","80","Established"
