"Utc","ProcessId","Protocol","LocalAddress","LocalPort","RemoteAddress","RemotePort","State"
"2026-09-09T20:31:54.5968314Z","18052","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
"2026-09-09T20:31:54.5968314Z","18052","UDP","127.0.0.1","53924","","","Bound"
"2026-09-09T20:31:54.5968314Z","18052","UDP","0.0.0.0","21166","","","Bound"
"2026-09-09T20:31:54.5968314Z","18052","UDP","0.0.0.0","443","","","Bound"
"2026-09-09T20:31:55.7185798Z","18052","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
"2026-09-09T20:31:55.7185798Z","18052","UDP","127.0.0.1","53924","","","Bound"
"2026-09-09T20:31:55.7185798Z","18052","UDP","0.0.0.0","21166","","","Bound"
"2026-09-09T20:31:55.7185798Z","18052","UDP","0.0.0.0","443","","","Bound"
"2026-09-09T20:31:56.7605800Z","18052","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
"2026-09-09T20:31:56.7605800Z","18052","UDP","127.0.0.1","53924","","","Bound"
"2026-09-09T20:31:56.7605800Z","18052","UDP","0.0.0.0","21166","","","Bound"
"2026-09-09T20:31:56.7605800Z","18052","UDP","0.0.0.0","443","","","Bound"
"2026-09-09T20:31:57.7894644Z","18052","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
"2026-09-09T20:31:57.7894644Z","18052","UDP","127.0.0.1","53924","","","Bound"
"2026-09-09T20:31:57.7894644Z","18052","UDP","0.0.0.0","21166","","","Bound"
"2026-09-09T20:31:57.7894644Z","18052","UDP","0.0.0.0","443","","","Bound"
"2026-09-09T20:31:58.8094150Z","18052","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
"2026-09-09T20:31:58.8094150Z","18052","UDP","127.0.0.1","53924","","","Bound"
"2026-09-09T20:31:58.8094150Z","18052","UDP","0.0.0.0","21166","","","Bound"
"2026-09-09T20:31:58.8094150Z","18052","UDP","0.0.0.0","443","","","Bound"
"2026-09-09T20:31:59.8935175Z","18052","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
"2026-09-09T20:31:59.8935175Z","18052","UDP","127.0.0.1","53924","","","Bound"
"2026-09-09T20:31:59.8935175Z","18052","UDP","0.0.0.0","21166","","","Bound"
"2026-09-09T20:31:59.8935175Z","18052","UDP","0.0.0.0","443","","","Bound"
"2026-09-09T20:32:00.9194561Z","18052","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
"2026-09-09T20:32:00.9194561Z","18052","UDP","127.0.0.1","53924","","","Bound"
"2026-09-09T20:32:00.9194561Z","18052","UDP","0.0.0.0","21166","","","Bound"
"2026-09-09T20:32:00.9194561Z","18052","UDP","0.0.0.0","443","","","Bound"
"2026-09-09T20:32:01.9396169Z","18052","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
"2026-09-09T20:32:01.9396169Z","18052","UDP","127.0.0.1","53924","","","Bound"
"2026-09-09T20:32:01.9396169Z","18052","UDP","0.0.0.0","21166","","","Bound"
"2026-09-09T20:32:01.9396169Z","18052","UDP","0.0.0.0","443","","","Bound"
"2026-09-09T20:32:02.9719395Z","18052","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
"2026-09-09T20:32:02.9719395Z","18052","UDP","127.0.0.1","53924","","","Bound"
"2026-09-09T20:32:02.9719395Z","18052","UDP","0.0.0.0","21166","","","Bound"
"2026-09-09T20:32:02.9719395Z","18052","UDP","0.0.0.0","443","","","Bound"
"2026-09-09T20:32:04.0034490Z","18052","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
"2026-09-09T20:32:04.0034490Z","18052","UDP","127.0.0.1","53924","","","Bound"
"2026-09-09T20:32:04.0034490Z","18052","UDP","0.0.0.0","21166","","","Bound"
"2026-09-09T20:32:04.0034490Z","18052","UDP","0.0.0.0","443","","","Bound"
"2026-09-09T20:32:05.0413492Z","18052","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
"2026-09-09T20:32:05.0413492Z","18052","UDP","127.0.0.1","53924","","","Bound"
"2026-09-09T20:32:05.0413492Z","18052","UDP","0.0.0.0","21166","","","Bound"
"2026-09-09T20:32:05.0413492Z","18052","UDP","0.0.0.0","443","","","Bound"
"2026-09-09T20:32:06.0754459Z","18052","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
"2026-09-09T20:32:06.0754459Z","18052","UDP","127.0.0.1","53924","","","Bound"
"2026-09-09T20:32:06.0754459Z","18052","UDP","0.0.0.0","21166","","","Bound"
"2026-09-09T20:32:06.0754459Z","18052","UDP","0.0.0.0","443","","","Bound"
