"Utc","ProcessId","Protocol","LocalAddress","LocalPort","RemoteAddress","RemotePort","State"
"2026-09-10T06:42:51.3374406Z","10164","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
"2026-09-10T06:42:51.3374406Z","10164","UDP","127.0.0.1","58703","","","Bound"
"2026-09-10T06:42:51.3374406Z","10164","UDP","0.0.0.0","21166","","","Bound"
"2026-09-10T06:42:51.3374406Z","10164","UDP","0.0.0.0","443","","","Bound"
"2026-09-10T06:42:52.5630391Z","10164","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
"2026-09-10T06:42:52.5630391Z","10164","UDP","127.0.0.1","58703","","","Bound"
"2026-09-10T06:42:52.5630391Z","10164","UDP","0.0.0.0","21166","","","Bound"
"2026-09-10T06:42:52.5630391Z","10164","UDP","0.0.0.0","443","","","Bound"
"2026-09-10T06:42:53.7495390Z","10164","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
"2026-09-10T06:42:53.7495390Z","10164","UDP","127.0.0.1","58703","","","Bound"
"2026-09-10T06:42:53.7495390Z","10164","UDP","0.0.0.0","21166","","","Bound"
"2026-09-10T06:42:53.7495390Z","10164","UDP","0.0.0.0","443","","","Bound"
"2026-09-10T06:42:54.9077234Z","10164","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
"2026-09-10T06:42:54.9077234Z","10164","UDP","127.0.0.1","58703","","","Bound"
"2026-09-10T06:42:54.9077234Z","10164","UDP","0.0.0.0","21166","","","Bound"
"2026-09-10T06:42:54.9077234Z","10164","UDP","0.0.0.0","443","","","Bound"
"2026-09-10T06:42:56.0825865Z","10164","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
"2026-09-10T06:42:56.0825865Z","10164","UDP","127.0.0.1","58703","","","Bound"
"2026-09-10T06:42:56.0825865Z","10164","UDP","0.0.0.0","21166","","","Bound"
"2026-09-10T06:42:56.0825865Z","10164","UDP","0.0.0.0","443","","","Bound"
"2026-09-10T06:42:57.2617760Z","10164","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
"2026-09-10T06:42:57.2617760Z","10164","UDP","127.0.0.1","58703","","","Bound"
"2026-09-10T06:42:57.2617760Z","10164","UDP","0.0.0.0","21166","","","Bound"
"2026-09-10T06:42:57.2617760Z","10164","UDP","0.0.0.0","443","","","Bound"
"2026-09-10T06:42:58.4335981Z","10164","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
"2026-09-10T06:42:58.4335981Z","10164","UDP","127.0.0.1","58703","","","Bound"
"2026-09-10T06:42:58.4335981Z","10164","UDP","0.0.0.0","21166","","","Bound"
"2026-09-10T06:42:58.4335981Z","10164","UDP","0.0.0.0","443","","","Bound"
"2026-09-10T06:42:59.6382669Z","10164","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
"2026-09-10T06:42:59.6382669Z","10164","UDP","127.0.0.1","58703","","","Bound"
"2026-09-10T06:42:59.6382669Z","10164","UDP","0.0.0.0","21166","","","Bound"
"2026-09-10T06:42:59.6382669Z","10164","UDP","0.0.0.0","443","","","Bound"
"2026-09-10T06:43:00.8485386Z","10164","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
"2026-09-10T06:43:00.8485386Z","10164","UDP","127.0.0.1","58703","","","Bound"
"2026-09-10T06:43:00.8485386Z","10164","UDP","0.0.0.0","21166","","","Bound"
"2026-09-10T06:43:00.8485386Z","10164","UDP","0.0.0.0","443","","","Bound"
"2026-09-10T06:43:02.0290605Z","10164","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
"2026-09-10T06:43:02.0290605Z","10164","UDP","127.0.0.1","58703","","","Bound"
"2026-09-10T06:43:02.0290605Z","10164","UDP","0.0.0.0","21166","","","Bound"
"2026-09-10T06:43:02.0290605Z","10164","UDP","0.0.0.0","443","","","Bound"
